node,xcoord,ycoord,building,floor
CREST001L1,1732,1019,L1,Tower
CREST001L2,2300,884,L2,45 Francis
CREST002L1,2065,1284,L1,Tower
CREST002L2,1930,1280,L2,45 Francis
CREST003L1,2300,879,L1,45 Francis
CREST004L1,2770,1160,L1,45 Francis
CRETL001L1,2185,904,L1,45 Francis
CSERV001L1,2490,1043,L1,45 Francis
CSERV001L2,2015,1280,L2,45 Francis
DELEV00A02,4550,375,2,15 Francis
DELEV00B02,4155,650,2,15 Francis
DELEV00C02,3955,885,2,15 Francis
DELEV00D02,3475,760,2,15 Francis
DREST00102,4125,625,2,15 Francis
DREST00202,3895,695,2,15 Francis
DREST00302,3635,830,2,15 Francis
DREST00402,3525,850,2,15 Francis
DINFO00102,4210,630,2,15 Francis
DINFO00202,3490,825,2,15 Francis
DDEPT00102,4330,700,2,15 Francis
DDEPT00202,4240,730,2,15 Francis
DDEPT00302,3900,640,2,15 Francis
DDEPT00402,3425,870,2,15 Francis
DLABS00102,3830,775,2,15 Francis
DCONF00102,4595,550,2,15 Francis
DRETL00102,4270,480,2,15 Francis
DEXIT00102,4295,750,2,15 Francis
DSTAI00102,4650,675,2,15 Francis
DSTAI00202,4330,580,2,15 Francis
DSTAI00302,4250,440,2,15 Francis
DSTAI00402,4175,620,2,15 Francis
DSTAI00502,4065,630,2,15 Francis
DSTAI00602,3950,865,2,15 Francis
DSTAI00702,3855,565,2,15 Francis
DSTAI00802,3535,645,2,15 Francis
DHALL00102,4770,1140,2,15 Francis
DHALL00202,4750,1080,2,15 Francis
DHALL00302,4725,995,2,15 Francis
DHALL00402,4785,975,2,15 Francis
DHALL00502,4705,925,2,15 Francis
DHALL00602,4690,870,2,15 Francis
DHALL00702,4675,820,2,15 Francis
DHALL00802,4660,770,2,15 Francis
DHALL00902,4635,680,2,15 Francis
DHALL01002,4625,650,2,15 Francis
DHALL01102,4605,655,2,15 Francis
DHALL01202,4570,555,2,15 Francis
DHALL01302,4545,460,2,15 Francis
DHALL01402,4570,455,2,15 Francis
DHALL01502,4480,580,2,15 Francis
DHALL01602,4390,605,2,15 Francis
DHALL01702,4385,585,2,15 Francis
DHALL01802,4340,625,2,15 Francis
DHALL01902,4310,585,2,15 Francis
DHALL02002,4295,530,2,15 Francis
DHALL02102,4280,475,2,15 Francis
DHALL02202,4270,440,2,15 Francis
DHALL02302,4280,435,2,15 Francis
DHALL02402,4295,475,2,15 Francis
DHALL02502,4285,715,2,15 Francis
DHALL02602,4270,650,2,15 Francis
DHALL02702,4220,660,2,15 Francis
DHALL02802,4185,665,2,15 Francis
DHALL02902,4140,680,2,15 Francis
DHALL03002,4130,650,2,15 Francis
DHALL03102,4020,715,2,15 Francis
DHALL03202,4000,645,2,15 Francis
DHALL03302,3925,740,2,15 Francis
DHALL03402,3945,790,2,15 Francis
DHALL03502,3955,830,2,15 Francis
DHALL03602,3965,860,2,15 Francis
DHALL03702,3970,880,2,15 Francis
DHALL03802,3980,910,2,15 Francis
DHALL03902,3910,685,2,15 Francis
DHALL04002,3875,560,2,15 Francis
DHALL04102,3870,540,2,15 Francis
DHALL04202,3865,750,2,15 Francis
DHALL04302,3860,725,2,15 Francis
DHALL04402,3775,745,2,15 Francis
DHALL04502,3825,760,2,15 Francis
DHALL04602,3745,780,2,15 Francis
DHALL04702,3655,805,2,15 Francis
DHALL04802,3645,775,2,15 Francis
DHALL04902,3630,810,2,15 Francis
DHALL05002,3575,825,2,15 Francis
DHALL05102,3555,730,2,15 Francis
DHALL05202,3525,840,2,15 Francis
DHALL05302,3490,845,2,15 Francis
DHALL05402,3450,850,2,15 Francis
DHALL05502,3440,800,2,15 Francis
DHALL05602,3480,790,2,15 Francis
DHALL05702,3510,790,2,15 Francis
DHALL05802,3420,850,2,15 Francis
PHALL00102,4300,630,2,45 Francis
ESTAI00101,2190,910,1,45 Francis
EHALL00301,2240,910,1,45 Francis
EHALL00401,2275,910,1,45 Francis
ESTAI00201,2275,830,1,45 Francis
EEXIT00101,2275,785,1,45 Francis
EHALL00501,2290,910,1,45 Francis
EHALL00601,2385,910,1,45 Francis
EHALL00701,2385,860,1,45 Francis
EDEPT00101,2335,860,1,45 Francis
EHALL00801,2460,910,1,45 Francis
EINFO00101,2460,850,1,45 Francis
EHALL00901,2585,910,1,45 Francis
EHALL01001,2585,890,1,45 Francis
EHALL01101,2610,910,1,45 Francis
EHALL01201,2610,954,1,45 Francis
EHALL01301,2660,954,1,45 Francis
EHALL01401,2660,979,1,45 Francis
EHALL01501,2675,910,1,45 Francis
EHALL01601,2910,910,1,45 Francis
EHALL01701,2910,890,1,45 Francis
EHALL01801,2925,910,1,45 Francis
EHALL01901,2960,900,1,45 Francis
EHALL02001,2950,745,1,45 Francis
EREST00101,2950,730,1,45 Francis
EEXIT00201,2950,705,1,45 Francis
ELABS00101,3050,730,1,45 Francis
EDEPT00201,3100,890,1,45 Francis
EDEPT00301,3200,880,1,45 Francis
EHALL02101,3230,880,1,45 Francis
EHALL02201,3270,875,1,45 Francis
EHALL02301,3325,870,1,45 Francis
EHALL02401,2770,980,1,45 Francis
EHALL02501,2925,980,1,45 Francis
EREST00201,2985,980,1,45 Francis
EHALL02601,3085,980,1,45 Francis
EHALL02701,3085,1000,1,45 Francis
EHALL02801,2925,1050,1,45 Francis
EHALL02901,2770,1070,1,45 Francis
EHALL03001,2790,1070,1,45 Francis
ESTAI00301,2790,1155,1,45 Francis
EREST00301,2790,1190,1,45 Francis
ELABS00201,2790,1290,1,45 Francis
EDEPT00401,2790,1380,1,45 Francis
EHALL03101,2790,1460,1,45 Francis
EHALL03201,2670,1380,1,45 Francis
EHALL03301,2605,1380,1,45 Francis
ESTAI00401,2605,1340,1,45 Francis
EHALL03401,2835,1460,1,45 Francis
EHALL03501,2760,1460,1,45 Francis
EHALL03601,2760,1405,1,45 Francis
FHALL00101,2055,910,1,Tower
FHALL00201,2026,910,1,Tower
FSTAI00101,2026,892,1,Tower
FHALL00301,2017,910,1,Tower
FEXIT00101,2017,799,1,Tower
FHALL00401,1973,910,1,Tower
FRETL00101,1973,844,1,Tower
FHALL00501,1950,910,1,Tower
FSERV00101,1950,871,1,Tower
FHALL00601,1869,930,1,Tower
FHALL00701,1758,930,1,Tower
FHALL00801,1758,850,1,Tower
FHALL01301,1627,825,1,Tower
FHALL00901,1627,850,1,Tower
FHALL01001,1627,802,1,Tower
FSTAI00201,1673,802,1,Tower
FHALL01101,1627,930,1,Tower
FHALL01201,1548,930,1,Tower
FDEPT00101,1617,825,1,Tower
FSERV00401,1721,970,1,Tower
FHALL01401,1627,1029,1,Tower
FSERV00201,1605,1029,1,Tower
FHALL01501,1627,1060,1,Tower
FHALL01601,1758,1060,1,Tower
FHALL01701,1721,956,1,Tower
FDEPT00301,1721,931,1,Tower
FHALL01801,1758,956,1,Tower
FHALL01901,1758,1120,1,Tower
FHALL02001,1700,1120,1,Tower
FDEPT00201,1610,1120,1,Tower
FSERV00301,1700,1158,1,Tower
FHALL02101,1769,1146,1,Tower
FDEPT00401,1794,1146,1,Tower
FHALL02201,1769,1280,1,Tower
FLABS00101,1845,1250,1,Tower
FHALL02301,1845,1280,1,Tower
FHALL02401,1965,1280,1,Tower
FHALL02501,1965,1239,1,Tower
FSTAI00301,1947,1239,1,Tower
FHALL02601,2026,1239,1,Tower
FHALL02701,2066,1239,1,Tower
FDEPT00501,2128,1300,1,Tower
FHALL02801,1748,1280,1,Tower
FEXIT00201,1748,1321,1,Tower
FHALL02901,1700,1280,1,Tower
FINFO00101,1700,1226,1,Tower
FSERV00501,1645,1280,1,Tower
FHALL03001,1645,1246,1,Tower
FRETL00201,1609,1246,1,Tower
FHALL03101,2026,976,1,Tower
FREST00101,2091,976,1,Tower
FEXIT00301,2099,1357,1,Tower
FHALL03201,1758,1029,1,Tower
FDEPT00601,1780,1029,1,Tower
FHALL03301,2066,1282,1,Tower
GCONF02001,1493,2117,1,Shapiro
GDEPT01901,1566,2139,1,Shapiro
GELEV00N01,1647,1930,1,Shapiro
GELEV00Q01,1648,2161,1,Shapiro
GEXIT00101,1751,1825,1,Shapiro
GHALL00201,1722,1832,1,Shapiro
GHALL00301,1705,1831,1,Shapiro
GHALL00601,1707,2015,1,Shapiro
GHALL00701,1708,2092,1,Shapiro
GHALL00801,1707,2152,1,Shapiro
GHALL00901,1707,2164,1,Shapiro
GHALL01001,1673,2165,1,Shapiro
GHALL01401,1749,2151,1,Shapiro
GHALL01501,1749,2224,1,Shapiro
GHALL01601,1689,2225,1,Shapiro
GHALL01701,1605,2093,1,Shapiro
GHALL02101,1600,1830,1,Shapiro
GHALL02201,1601,1866,1,Shapiro
GHALL02401,1602,1928,1,Shapiro
GHALL02801,1270,1830,1,Shapiro
GHALL02901,1262,1850,1,Shapiro
GHALL03001,1256,1858,1,Shapiro
GHALL03101,1227,1859,1,Shapiro
GHALL03301,1255,1872,1,Shapiro
GHALL03401,1284,1872,1,Shapiro
GREST01201,1671,2015,1,Shapiro
GRETL03501,1284,1884,1,Shapiro
GSERV02301,1600,1895,1,Shapiro
GSTAI00501,1707,1992,1,Shapiro
GSTAI01301,1750,2014,1,Shapiro
GDEPT00702,1341,1778,2,Shapiro
GDEPT02402,1578,1932,2,Shapiro
GDEPT03502,1580,2166,2,Shapiro
GELEV00N02,1630,1931,2,Shapiro
GELEV00Q02,1628,2102,2,Shapiro
GHALL00102,1170,1780,2,Shapiro
GHALL00202,1168,1820,2,Shapiro
GHALL00302,1231,1781,2,Shapiro
GHALL00402,1230,1820,2,Shapiro
GHALL00502,1283,1781,2,Shapiro
GHALL01002,1340,1820,2,Shapiro
GHALL01102,1396,1781,2,Shapiro
GHALL01202,1395,1820,2,Shapiro
GHALL01302,1450,1781,2,Shapiro
GHALL01402,1450,1820,2,Shapiro
GHALL01502,1502,1781,2,Shapiro
GHALL01602,1502,1820,2,Shapiro
GHALL01702,1578,1820,2,Shapiro
GHALL01802,1630,1801,2,Shapiro
GHALL02002,1684,1801,2,Shapiro
GHALL02102,1683,1821,2,Shapiro
GHALL02202,1720,1801,2,Shapiro
GHALL02302,1726,1835,2,Shapiro
GHALL02702,1726,1930,2,Shapiro
GHALL02902,1728,2042,2,Shapiro
GHALL03002,1580,2090,2,Shapiro
GHALL03202,1684,2091,2,Shapiro
GHALL03302,1692,2124,2,Shapiro
GHALL03402,1724,2123,2,Shapiro
GHALL03602,1580,2208,2,Shapiro
GHALL03702,1692,2211,2,Shapiro
GHALL03802,1726,2210,2,Shapiro
GINFO01902,1630,1821,2,Shapiro
GREST00602,1284,1821,2,Shapiro
GREST03102,1628,2092,2,Shapiro
GSTAI02602,1686,1931,2,Shapiro
GSTAI02802,1685,2041,2,Shapiro
GDEPT00403,1580,2142,3,Shapiro
GDEPT01403,1580,1904,3,Shapiro
GELEV00N03,1628,1904,3,Shapiro
GELEV00Q03,1628,2142,3,Shapiro
GHALL00103,1562,2230,3,Shapiro
GHALL00203,1580,2230,3,Shapiro
GHALL00303,1580,2180,3,Shapiro
GHALL00603,1685,2142,3,Shapiro
GHALL00703,1685,2230,3,Shapiro
GHALL00803,1685,2106,3,Shapiro
GHALL01003,1580,2070,3,Shapiro
GHALL01103,1628,2070,3,Shapiro
GHALL01303,1580,2006,3,Shapiro
GREST01203,1628,2052,3,Shapiro
GSERV01603,1580,1858,3,Shapiro
GSTAI00903,1685,2052,3,Shapiro
GELEV00QL1,1637,2116,L1,Shapiro
GEXIT001L1,1702,2260,L1,Shapiro
GHALL002L1,1702,2167,L1,Shapiro
GHALL003L1,1688,2167,L1,Shapiro
GHALL004L1,1666,2167,L1,Shapiro
GHALL005L1,1688,2131,L1,Shapiro
GHALL006L1,1665,2116,L1,Shapiro
GSTAI008L1,1720,2131,L1,Shapiro
GELEV00QL2,1625,2089,L2,Shapiro
GHALL001L2,1730,1584,L2,Shapiro
GHALL005L2,1642,2089,L2,Shapiro
GHALL007L2,1578,2089,L2,Shapiro
GHALL008L2,1577,2195,L2,Shapiro
GHALL009L2,1578,2031,L2,Shapiro
GHALL010L2,1550,2031,L2,Shapiro
GHALL011L2,1550,1966,L2,Shapiro
GHALL012L2,1512,1966,L2,Shapiro
GHALL013L2,1512,1909,L2,Shapiro
GHALL016L2,1512,1701,L2,Shapiro
GHALL017L2,1512,1539,L2,Shapiro
GLABS003L2,1729,2089,L2,Shapiro
GLABS014L2,1512,1844,L2,Shapiro
GLABS015L2,1512,1811,L2,Shapiro
GREST004L2,1680,2090,L2,Shapiro
HHALL00102,1875,925,2,Tower
HHALL00202,1955,900,2,Tower
HRETL00102,1935,860,2,Tower
HHALL00302,2035,900,2,Tower
HSTAI00102,2060,880,2,Tower
HHALL00402,1875,1025,2,Tower
HHALL00502,1825,1025,2,Tower
HRETL00202,1615,1025,2,Tower
HBATH00102,1605,1008,2,Tower
HRETL00302,1825,1080,2,Tower
HHALL00602,1775,1080,2,Tower
HHALL00702,1740,1165,2,Tower
HSTAI00202,1695,1165,2,Tower
HHALL00802,1740,1230,2,Tower
HSTAI00302,1790,1230,2,Tower
HHALL00902,1740,1280,2,Tower
HHALL01002,2055,1280,2,Tower
HDEPT00102,2055,1330,2,Tower
HHALL00503,1680,1290,3,Tower
HSTAI00103,1680,1275,3,Tower
HHALL00403,1325,1290,3,Tower
HHALL00303,1325,985,3,Tower
HHALL00203,1235,985,3,Tower
HLABS00103,1235,865,3,Tower
HHALL00103,1325,655,3,Tower
HHALL00603,1735,925,3,Tower
HHALL00703,1735,900,3,Tower
HDEPT00103,1725,900,3,Tower
HHALL00803,1735,865,3,Tower
HSERV00103,1750,865,3,Tower
HHALL00903,1735,820,3,Tower
HHALL01003,1785,820,3,Tower
HBATH00103,1785,830,3,Tower
HHALL01103,1690,820,3,Tower
HDEPT00203,1690,830,3,Tower
HHALL01203,1600,820,3,Tower
HHALL01303,1600,1030,3,Tower
HHALL01403,1735,1030,3,Tower
HHALL01503,1735,985,3,Tower
HBATH00203,1750,985,3,Tower
IHALL00103,2255,1290,3,45 Francis
IHALL00203,2323,1290,3,45 Francis
IHALL00303,2448,1290,3,45 Francis
IHALL00403,2570,1290,3,45 Francis
IHALL00503,2730,1290,3,45 Francis
IHALL00603,2772,1290,3,45 Francis
IHALL00703,2772,1227,3,45 Francis
IHALL00803,2772,1147,3,45 Francis
IHALL00903,2649,1075,3,45 Francis
IHALL01003,2772,1075,3,45 Francis
IHALL01103,2922,1075,3,45 Francis
IHALL01203,2220,1034,3,45 Francis
IHALL01303,2323,1034,3,45 Francis
IHALL01403,2323,993,3,45 Francis
IHALL01503,2220,944,3,45 Francis
IHALL01603,2252,851,3,45 Francis
IHALL01703,2323,851,3,45 Francis
IHALL01803,2362,851,3,45 Francis
IHALL01903,2492,851,3,45 Francis
IHALL02003,2597,851,3,45 Francis
IHALL02203,2362,764,3,45 Francis
IREST00103,2255,1255,3,45 Francis
IREST00203,2570,1257,3,45 Francis
IREST00303,2745,1147,3,45 Francis
IREST00403,2300,1018,3,45 Francis
IREST00503,2277,995,3,45 Francis
IDEPT00103,2323,1328,3,45 Francis
IDEPT00203,2448,1328,3,45 Francis
IDEPT00303,2730,1315,3,45 Francis
IDEPT00403,2738,1227,3,45 Francis
IDEPT00503,2868,1075,3,45 Francis
IDEPT00603,2333,764,3,45 Francis
IDEPT00703,2400,764,3,45 Francis
IDEPT00803,2492,887,3,45 Francis
IDEPT00903,2631,851,3,45 Francis
WELEV00E01,3265,830,1,45 Francis
WELEV00E02,3235,880,2,45 Francis
WELEV00F01,3050,980,1,45 Francis
WELEV00F02,3075,960,2,45 Francis
WELEV00G01,2935,900,1,45 Francis
WELEV00G02,2945,870,2,45 Francis
WELEV00HL1,2715,1070,L1,45 Francis
WELEV00H01,2735,1070,1,45 Francis
WELEV00H02,2725,1065,2,45 Francis
WELEV00H03,2715,1075,3,45 Francis
WELEV00JL2,2360,804,L2,45 Francis
WELEV00JL1,2360,799,L1,45 Francis
WELEV00J01,2385,810,1,45 Francis
WELEV00J02,2385,800,2,45 Francis
WELEV00J03,2365,800,3,45 Francis
WELEV00KL2,2215,974,L2,45 Francis
WELEV00KL1,2220,974,L1,45 Francis
WELEV00K01,2240,985,1,45 Francis
WELEV00K02,2240,965,2,45 Francis
WELEV00K03,2220,985,3,45 Francis
WELEV00LL2,1785,924,L2,Tower
WELEV00LL1,1785,924,L1,Tower
WELEV00L01,1810,930,1,Tower
WELEV00L02,1805,925,2,Tower
WELEV00L03,1790,925,3,Tower
WELEV00ML2,1820,1280,L2,Tower
WELEV00ML1,1820,1284,L1,Tower
WELEV00M01,1810,1280,1,Tower
WELEV00M02,1825,1280,2,Tower
WELEV00M03,1815,1290,3,Tower
WHALL001L2,1745,1524,L2,Tower
WHALL002L2,1745,1539,L2,Shapiro
WHALL00101,2160,910,1,45 Francis
WHALL00201,2175,910,1,45 Francis
WHALL00103,2060,1290,3,45 Francis
WHALL00203,2080,1290,3,45 Francis
WHALL00102,3345,865,2,45 Francis
WHALL00202,3360,860,2,15 Francis
WHALL00302,2085,900,2,45 Francis
WHALL00402,2105,900,2,45 Francis
WHALL00502,2085,1280,2,45 Francis
WHALL00602,2105,1280,2,45 Francis
WHALL00702,1740,1500,2,Tower
WHALL00802,1720,1745,2,Shapiro
WHALL00902,1690,2240,2,Shapiro
WHALL01002,1690,2455,2,BTM
